Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.034,,570.00,569.00,98.00,1.52,-6.50,151.97,0.00,420.00,257.00,83.00
0.111,,569.00,570.00,97.00,2.68,4.94,-150.74,0.00,420.00,257.00,83.00
0.201,,569.00,571.00,96.00,2.29,4.10,-150.23,0.00,420.00,257.00,83.00
0.254,,568.00,571.00,99.00,1.55,-5.80,151.50,0.00,420.00,257.00,83.00
0.312,,568.00,571.00,98.00,1.53,-6.58,151.89,0.00,420.00,257.00,83.00
0.365,,568.00,572.00,98.00,0.89,-5.70,153.50,0.00,420.00,257.00,83.00
0.418,,567.00,573.00,96.00,1.57,-6.64,155.26,0.00,420.00,257.00,83.00
0.470,,567.00,573.00,98.00,1.56,-6.35,153.98,0.00,420.00,257.00,83.00
0.524,,566.00,573.00,98.00,1.53,3.09,-148.56,0.00,420.00,257.00,83.00
0.590,,566.00,573.00,98.00,1.53,-6.91,153.17,0.00,420.00,257.00,83.00
0.656,,566.00,573.00,98.00,1.53,-6.91,153.17,0.00,420.00,257.00,83.00
0.717,,566.00,573.00,98.00,1.17,-7.24,154.44,0.00,420.00,257.00,83.00
0.787,,566.00,572.00,99.00,0.54,-5.61,152.30,0.00,420.00,257.00,83.00
0.920,,565.00,573.00,97.00,1.24,-5.73,153.43,0.00,420.00,257.00,83.00
1.080,,565.00,576.00,97.00,1.51,2.29,-147.91,0.00,420.00,257.00,83.00
1.137,,564.00,578.00,97.00,1.22,-6.75,155.10,0.00,420.00,257.00,83.00
1.196,,564.00,579.00,98.00,1.57,4.48,-152.12,0.00,420.00,257.00,83.00
1.255,,564.00,580.00,98.00,1.56,4.15,-150.68,0.00,420.00,257.00,83.00
1.361,,561.00,580.00,98.00,0.52,-6.62,153.80,0.00,420.00,257.00,83.00
1.432,,560.00,579.00,98.00,0.22,-6.07,153.28,0.00,420.00,257.00,83.00
1.491,,507.00,549.00,99.00,2.08,-2.30,-149.58,0.00,420.00,257.00,83.00
1.561,,472.00,526.00,101.00,1.98,-4.66,153.56,0.00,420.00,257.00,83.00
1.674,,426.00,486.00,97.00,0.25,-13.01,-143.92,0.00,420.00,257.00,83.00
1.783,,352.00,396.00,100.00,2.12,-1.07,157.05,0.00,420.00,257.00,83.00
1.889,,330.00,344.00,102.00,1.94,-0.56,155.89,0.00,420.00,257.00,83.00
1.945,,311.00,286.00,104.00,1.97,0.83,149.63,0.00,420.00,257.00,83.00
2.001,,301.00,248.00,103.00,2.54,-0.04,153.43,0.00,420.00,257.00,83.00
2.056,,300.00,229.00,106.00,2.77,1.02,149.14,0.00,420.00,257.00,83.00
2.111,,301.00,195.00,107.00,4.02,1.77,150.57,0.00,420.00,257.00,83.00
2.162,,305.00,173.00,107.00,4.28,1.37,150.05,0.00,420.00,257.00,83.00
2.215,,310.00,160.00,107.00,4.54,1.06,150.01,0.00,420.00,257.00,83.00
2.268,,324.00,142.00,107.00,4.40,1.80,150.08,0.00,420.00,257.00,83.00
2.321,,336.00,135.00,107.00,4.66,1.57,151.11,0.00,420.00,257.00,83.00
2.373,,344.00,133.00,107.00,4.74,0.88,150.54,0.00,420.00,257.00,83.00
2.425,,354.00,136.00,106.00,4.99,0.64,152.22,0.00,420.00,257.00,83.00
2.473,,362.00,141.00,106.00,4.32,0.81,151.99,0.00,420.00,257.00,83.00
2.523,,369.00,150.00,107.00,4.25,0.83,151.07,0.00,420.00,257.00,83.00
2.576,,374.00,161.00,107.00,4.45,0.42,152.52,0.00,420.00,257.00,83.00
