Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.033,,623.00,544.00,98.00,-2.64,4.08,-167.89,0.00,442.00,221.00,85.00
0.100,,623.00,544.00,98.00,-2.64,4.08,-167.89,0.00,442.00,221.00,85.00
0.189,,622.00,545.00,98.00,-3.68,-3.92,173.92,0.00,442.00,221.00,85.00
0.236,,622.00,545.00,98.00,-3.49,-5.87,174.76,0.00,442.00,221.00,85.00
0.284,,622.00,546.00,99.00,-2.56,5.15,-165.32,0.00,442.00,221.00,85.00
0.331,,622.00,546.00,84.00,-4.33,-5.96,173.61,0.00,442.00,221.00,85.00
0.394,,622.00,546.00,99.00,-3.04,-4.01,171.29,0.00,442.00,221.00,85.00
0.442,,621.00,545.00,98.00,-3.40,-4.44,171.61,0.00,442.00,221.00,85.00
0.492,,621.00,546.00,97.00,-3.68,0.16,-170.40,0.00,442.00,221.00,85.00
0.557,,619.00,545.00,98.00,-3.40,1.95,-166.02,0.00,442.00,221.00,85.00
0.614,,616.00,543.00,98.00,-3.62,3.64,-164.21,0.00,442.00,221.00,85.00
0.670,,606.00,535.00,100.00,-6.03,-4.47,-161.68,0.00,442.00,221.00,85.00
0.737,,594.00,525.00,101.00,-6.87,-2.31,-162.58,0.00,442.00,221.00,85.00
0.821,,579.00,513.00,99.00,-6.42,-3.65,169.57,0.00,442.00,221.00,85.00
0.914,,560.00,492.00,99.00,-6.86,-4.94,170.76,0.00,442.00,221.00,85.00
0.963,,521.00,434.00,100.00,-9.95,-3.30,178.10,0.00,442.00,221.00,85.00
1.011,,513.00,418.00,101.00,-9.78,-5.82,174.46,0.00,442.00,221.00,85.00
1.065,,507.00,409.00,101.00,-10.98,-6.68,173.53,0.00,442.00,221.00,85.00
1.116,,496.00,393.00,102.00,-9.48,1.34,-154.16,0.00,442.00,221.00,85.00
1.166,,475.00,364.00,103.00,-11.30,-6.21,175.20,0.00,442.00,221.00,85.00
1.215,,441.00,314.00,105.00,-9.68,-5.51,169.45,0.00,442.00,221.00,85.00
1.301,,432.00,294.00,105.00,-9.69,-6.74,173.96,0.00,442.00,221.00,85.00
1.381,,427.00,278.00,105.00,-8.95,-6.10,173.46,0.00,442.00,221.00,85.00
1.435,,418.00,247.00,106.00,-8.07,-5.30,171.97,0.00,442.00,221.00,85.00
1.486,,406.00,171.00,109.00,-7.79,-5.24,169.96,0.00,442.00,221.00,85.00
1.538,,405.00,146.00,110.00,-5.97,-5.41,174.33,0.00,442.00,221.00,85.00
1.591,,403.00,137.00,110.00,-6.30,-5.39,173.29,0.00,442.00,221.00,85.00
1.643,,405.00,126.00,110.00,-5.40,-5.53,-140.09,0.00,442.00,221.00,85.00
1.696,,409.00,118.00,110.00,-4.63,-6.11,172.94,0.00,442.00,221.00,85.00
1.747,,410.00,111.00,110.00,-4.11,-5.28,173.64,0.00,442.00,221.00,85.00
1.799,,410.00,108.00,108.00,-4.31,-4.71,172.82,0.00,442.00,221.00,85.00
1.855,,415.00,108.00,106.00,-4.12,-6.01,174.26,0.00,442.00,221.00,85.00
1.911,,426.00,109.00,103.00,-4.08,-6.50,174.27,0.00,442.00,221.00,85.00
1.966,,436.00,113.00,102.00,-4.19,-8.82,174.62,0.00,442.00,221.00,85.00
2.023,,455.00,125.00,99.00,-4.44,-9.41,174.34,0.00,442.00,221.00,85.00
2.075,,466.00,137.00,99.00,-3.55,-9.01,172.14,0.00,442.00,221.00,85.00
2.129,,473.00,153.00,96.00,-3.11,-7.67,173.15,0.00,442.00,221.00,85.00
2.182,,476.00,164.00,96.00,-3.29,-8.42,171.82,0.00,442.00,221.00,85.00
2.236,,478.00,176.00,94.00,-4.76,-8.49,171.20,0.00,442.00,221.00,85.00
2.286,,482.00,193.00,94.00,-4.34,-8.52,170.62,0.00,442.00,221.00,85.00
2.334,,483.00,206.00,91.00,-2.87,-7.44,173.93,0.00,442.00,221.00,85.00
2.385,,481.00,218.00,91.00,-4.78,-7.54,173.52,0.00,442.00,221.00,85.00
2.441,,477.00,225.00,89.00,-3.43,-0.43,-146.33,0.00,442.00,221.00,85.00
2.494,,474.00,229.00,90.00,-5.19,-7.76,173.31,0.00,442.00,221.00,85.00
2.543,,472.00,232.00,89.00,-5.88,-5.87,173.47,0.00,442.00,221.00,85.00
2.592,,466.00,237.00,88.00,-7.89,-8.85,173.93,0.00,442.00,221.00,85.00
2.641,,467.00,236.00,88.00,-4.95,-0.18,-144.40,0.00,442.00,221.00,85.00
2.691,,472.00,232.00,87.00,-5.91,-8.67,171.82,0.00,442.00,221.00,85.00
2.741,,472.00,232.00,87.00,-6.05,-7.68,170.97,0.00,442.00,221.00,85.00
2.790,,468.00,230.00,86.00,-3.00,1.53,-145.89,0.00,442.00,221.00,85.00
2.838,,465.00,228.00,87.00,-5.74,-9.68,170.67,0.00,442.00,221.00,85.00
2.890,,462.00,229.00,86.00,-2.38,0.68,-143.86,0.00,442.00,221.00,85.00
2.944,,461.00,230.00,86.00,-5.79,-8.33,172.93,0.00,442.00,221.00,85.00
2.996,,460.00,231.00,87.00,-4.69,-7.16,172.08,0.00,442.00,221.00,85.00
3.049,,459.00,234.00,87.00,-5.49,-7.33,172.05,0.00,442.00,221.00,85.00
3.098,,456.00,236.00,86.00,-4.85,-6.44,173.08,0.00,442.00,221.00,85.00
3.150,,454.00,237.00,85.00,-5.59,-7.53,174.01,0.00,442.00,221.00,85.00
3.202,,452.00,240.00,87.00,-5.81,-5.75,171.98,0.00,442.00,221.00,85.00
3.256,,451.00,241.00,86.00,-4.74,-7.70,174.00,0.00,442.00,221.00,85.00
3.283,,450.00,242.00,87.00,-3.55,-1.32,-142.78,1.00,755.00,711.00,82.00
3.337,,450.00,242.00,88.00,-4.78,-6.39,169.12,1.00,755.00,711.00,82.00
3.388,,448.00,241.00,88.00,-4.64,-7.62,170.04,1.00,755.00,711.00,82.00
3.441,,446.00,241.00,86.00,-4.89,-6.79,173.03,1.00,755.00,711.00,82.00
3.496,,436.00,239.00,87.00,-4.78,-4.75,-143.66,1.00,755.00,711.00,82.00
3.548,,431.00,236.00,86.00,-4.96,-7.19,173.34,1.00,755.00,711.00,82.00
3.599,,429.00,234.00,85.00,-4.27,-4.16,-146.69,1.00,755.00,711.00,82.00
3.650,,431.00,231.00,86.00,-2.89,-1.95,-146.54,1.00,755.00,711.00,82.00
3.702,,434.00,230.00,86.00,-4.71,-5.95,174.39,1.00,755.00,711.00,82.00
3.753,,441.00,230.00,86.00,-3.67,-1.55,-146.39,1.00,755.00,711.00,82.00
3.805,,455.00,234.00,87.00,-1.53,-1.03,-143.46,1.00,755.00,711.00,82.00
3.853,,470.00,243.00,86.00,0.17,1.28,-148.65,1.00,755.00,711.00,82.00
3.903,,481.00,255.00,88.00,-2.87,-10.10,171.46,1.00,755.00,711.00,82.00
3.952,,488.00,272.00,88.00,-4.36,-11.68,173.72,1.00,755.00,711.00,82.00
4.002,,494.00,292.00,88.00,-6.57,-11.46,173.24,1.00,755.00,711.00,82.00
4.052,,506.00,316.00,89.00,-6.80,-13.38,171.84,1.00,755.00,711.00,82.00
4.099,,524.00,342.00,81.00,-8.27,-8.16,-175.86,1.00,755.00,711.00,82.00
4.146,,542.00,361.00,88.00,-4.98,2.61,-148.18,1.00,755.00,711.00,82.00
4.197,,552.00,374.00,89.00,-6.43,-13.32,169.66,1.00,755.00,711.00,82.00
