Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.032,,659.00,538.00,90.00,-0.73,-4.24,177.24,0.00,801.00,385.00,102.00
0.117,,661.00,539.00,90.00,-0.43,7.63,-174.42,0.00,801.00,385.00,102.00
0.170,,661.00,538.00,90.00,-0.72,-4.15,177.25,0.00,801.00,385.00,102.00
0.214,,662.00,538.00,90.00,-1.13,-3.27,178.13,0.00,801.00,385.00,102.00
0.260,,663.00,538.00,90.00,-1.41,-9.12,-177.76,0.00,801.00,385.00,102.00
0.308,,663.00,538.00,90.00,-0.72,-4.06,177.27,0.00,801.00,385.00,102.00
0.352,,664.00,538.00,90.00,-0.96,-1.28,-173.41,0.00,801.00,385.00,102.00
0.399,,664.00,538.00,90.00,-0.96,-1.28,-173.41,0.00,801.00,385.00,102.00
0.444,,664.00,538.00,89.00,-0.72,-5.09,-179.83,0.00,801.00,385.00,102.00
0.489,,664.00,538.00,90.00,-1.58,-5.23,-177.80,0.00,801.00,385.00,102.00
0.537,,664.00,538.00,91.00,-1.05,-9.38,176.69,0.00,801.00,385.00,102.00
0.594,,665.00,538.00,90.00,-0.66,4.86,-167.31,0.00,801.00,385.00,102.00
0.646,,667.00,537.00,90.00,-0.72,-3.89,177.34,0.00,801.00,385.00,102.00
0.706,,673.00,534.00,90.00,-1.25,0.06,177.23,0.00,801.00,385.00,102.00
0.779,,682.00,530.00,93.00,-2.54,-2.72,-163.06,0.00,801.00,385.00,102.00
0.873,,693.00,524.00,92.00,-3.80,-4.12,-165.54,0.00,801.00,385.00,102.00
0.944,,718.00,504.00,93.00,-4.32,0.08,-161.56,0.00,801.00,385.00,102.00
0.994,,742.00,484.00,90.00,-4.89,-4.15,-179.61,0.00,801.00,385.00,102.00
1.052,,752.00,477.00,90.00,-4.80,0.70,173.42,0.00,801.00,385.00,102.00
1.106,,769.00,467.00,92.00,-5.76,-0.49,-160.80,0.00,801.00,385.00,102.00
1.164,,781.00,460.00,91.00,-5.19,-8.50,177.44,0.00,801.00,385.00,102.00
1.238,,803.00,448.00,90.00,-4.93,-8.09,178.06,0.00,801.00,385.00,102.00
1.356,,827.00,436.00,90.00,-4.34,-8.41,174.78,0.00,801.00,385.00,102.00
1.412,,846.00,422.00,89.00,-3.08,-9.27,173.62,0.00,801.00,385.00,102.00
1.463,,873.00,393.00,90.00,-0.43,-15.94,173.17,0.00,801.00,385.00,102.00
1.511,,886.00,383.00,90.00,0.93,-16.51,173.07,0.00,801.00,385.00,102.00
1.560,,901.00,372.00,90.00,1.41,-17.58,170.92,0.00,801.00,385.00,102.00
1.609,,913.00,362.00,90.00,1.94,-18.17,171.06,0.00,801.00,385.00,102.00
1.659,,922.00,355.00,91.00,1.71,-18.83,171.11,0.00,801.00,385.00,102.00
1.707,,932.00,345.00,91.00,2.06,-18.14,169.66,0.00,801.00,385.00,102.00
1.755,,934.00,341.00,91.00,2.67,-18.89,169.54,0.00,801.00,385.00,102.00
1.805,,937.00,334.00,92.00,1.57,-19.78,170.55,0.00,801.00,385.00,102.00
1.856,,935.00,330.00,93.00,1.96,-19.38,168.99,0.00,801.00,385.00,102.00
1.905,,930.00,328.00,92.00,1.03,-17.77,168.63,0.00,801.00,385.00,102.00
1.953,,921.00,326.00,93.00,0.72,-17.15,168.93,0.00,801.00,385.00,102.00
2.004,,906.00,326.00,94.00,-0.48,-17.27,168.21,0.00,801.00,385.00,102.00
2.052,,898.00,327.00,94.00,-0.72,-16.67,169.16,0.00,801.00,385.00,102.00
2.100,,872.00,330.00,95.00,-0.12,-13.61,167.67,0.00,801.00,385.00,102.00
2.146,,857.00,332.00,94.00,-0.13,-12.12,167.33,0.00,801.00,385.00,102.00
2.194,,847.00,334.00,95.00,6.79,25.50,-145.21,0.00,801.00,385.00,102.00
2.241,,829.00,337.00,95.00,-1.30,-10.83,168.24,0.00,801.00,385.00,102.00
2.288,,812.00,339.00,95.00,-1.72,-9.28,168.08,0.00,801.00,385.00,102.00
2.336,,782.00,341.00,96.00,-2.12,-8.06,167.49,0.00,801.00,385.00,102.00
2.382,,773.00,341.00,97.00,-2.38,-7.62,166.56,0.00,801.00,385.00,102.00
2.428,,765.00,341.00,97.00,-3.64,-4.89,165.33,0.00,801.00,385.00,102.00
2.475,,763.00,340.00,98.00,-3.98,-4.87,165.33,0.00,801.00,385.00,102.00
2.522,,761.00,340.00,97.00,-4.12,-5.54,166.67,0.00,801.00,385.00,102.00
2.569,,753.00,341.00,98.00,-5.38,-4.79,166.32,0.00,801.00,385.00,102.00
2.616,,750.00,342.00,98.00,-5.65,-2.70,163.80,0.00,801.00,385.00,102.00
2.662,,745.00,344.00,98.00,-5.20,-2.20,164.67,0.00,801.00,385.00,102.00
2.710,,740.00,350.00,98.00,-5.26,-2.58,166.08,0.00,801.00,385.00,102.00
2.757,,741.00,354.00,98.00,-4.74,-3.60,166.59,0.00,801.00,385.00,102.00
2.805,,742.00,356.00,98.00,-5.49,-4.10,165.46,0.00,801.00,385.00,102.00
