Time (s),X0 (mm),Y0 (mm),Z0 (mm),Yaw0 (deg),Pitch0 (deg),Roll0 (deg),X1 (mm),Y1 (mm),Z1 (mm),Yaw1 (deg),Pitch1 (deg),Roll1 (deg),Marker No,X ,Y ,R
1.985,-36.21,-35.01,502.82,0.03,37.01,175.70,-36.21,-35.01,502.82,0.03,37.01,175.70,0.00,345.00,722.00,37.00
2.035,-38.04,-32.37,502.04,-0.37,37.46,175.72,-38.04,-32.37,502.04,-0.37,37.46,175.72,0.00,345.00,722.00,37.00
2.086,-39.50,-31.61,504.80,-0.49,37.02,175.50,-39.50,-31.61,504.80,-0.49,37.02,175.50,0.00,345.00,722.00,37.00
2.182,-46.67,-28.05,502.96,-0.26,37.36,176.28,-46.67,-28.05,502.96,-0.26,37.36,176.28,0.00,345.00,722.00,37.00
2.230,-48.18,-27.95,505.63,-0.11,36.86,177.00,-48.18,-27.95,505.63,-0.11,36.86,177.00,0.00,345.00,722.00,37.00
2.279,-49.30,-26.81,503.32,-0.37,37.33,176.42,-49.30,-26.81,503.32,-0.37,37.33,176.42,0.00,345.00,722.00,37.00
2.328,-49.39,-26.22,502.60,-0.18,37.39,177.23,-49.39,-26.22,502.60,-0.18,37.39,177.23,0.00,345.00,722.00,37.00
2.375,-49.80,-25.45,502.88,0.23,37.58,177.58,-49.80,-25.45,502.88,0.23,37.58,177.58,0.00,345.00,722.00,37.00
2.424,-50.50,-25.29,502.74,-0.24,37.79,177.18,-50.50,-25.29,502.74,-0.24,37.79,177.18,0.00,345.00,722.00,37.00
2.472,-50.95,-25.60,504.13,-0.03,37.05,176.91,-50.95,-25.60,504.13,-0.03,37.05,176.91,0.00,345.00,722.00,37.00
2.519,-51.64,-26.22,505.53,-0.20,37.11,176.93,-51.64,-26.22,505.53,-0.20,37.11,176.93,0.00,345.00,722.00,37.00
2.568,-52.15,-27.50,507.45,0.11,37.35,177.38,-52.15,-27.50,507.45,0.11,37.35,177.38,0.00,345.00,722.00,37.00
2.617,-51.94,-28.11,506.91,0.16,36.90,176.91,-51.94,-28.11,506.91,0.16,36.90,176.91,0.00,345.00,722.00,37.00
2.666,-51.26,-29.98,506.43,0.36,37.53,176.70,-51.26,-29.98,506.43,0.36,37.53,176.70,0.00,345.00,722.00,37.00
2.712,-51.55,-31.44,510.93,0.15,36.98,176.32,-51.55,-31.44,510.93,0.15,36.98,176.32,0.00,345.00,722.00,37.00
2.758,-50.61,-31.72,507.80,0.23,37.42,176.49,-50.61,-31.72,507.80,0.23,37.42,176.49,0.00,345.00,722.00,37.00
2.813,-50.69,-32.17,508.62,0.03,37.36,176.17,-50.69,-32.17,508.62,0.03,37.36,176.17,0.00,345.00,722.00,37.00
2.867,-50.18,-32.36,509.11,0.03,37.07,176.41,-50.18,-32.36,509.11,0.03,37.07,176.41,0.00,345.00,722.00,37.00
