Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
6.036,1,37.35,34.86,667.25,3.04,49.47,177.81
7.306,1,-48.61,341.25,2443.51,16.48,-32.54,26.56
7.366,1,-247.80,2142.28,15308.18,1.14,3.14,-1.68
7.431,1,-150.57,1389.55,9984.17,3.32,-5.19,83.85
7.486,1,-38.67,365.52,2635.32,2.80,-4.42,-98.47
7.549,1,-38.68,256.77,1863.26,10.84,-36.77,81.55
7.609,1,-52.91,328.79,2385.25,4.41,8.76,-97.38
7.668,1,-84.26,647.22,4679.06,18.90,-1.89,-87.34
7.729,1,-118.20,731.20,5296.96,5.50,0.60,-97.82
7.789,1,-59.55,426.16,3074.41,8.14,2.93,-98.25
7.849,1,-19.30,215.61,1558.15,0.91,-3.32,-101.13
7.969,1,17.41,776.28,5424.25,-3.13,-1.17,2.69
8.150,1,33.41,172.82,1279.57,-5.32,-14.00,-99.35
8.212,1,-4602658323.13,-22158106187.78,-161360482201.17,71.71,-8.49,154.89
8.272,1,54.80,244.66,1768.20,-42.45,2.98,39.86
8.394,1,10.44,127.99,933.98,-8.35,-2.23,-100.47
8.453,1,223.34,4073.68,29075.33,-24.08,-7.47,-6.93
8.513,1,14.49,754.62,5340.49,-17.70,14.15,27.48
