Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
8.461,0,42.83,26.33,379.21,9.37,-39.12,164.81
8.500,0,33.63,22.30,380.24,8.63,-39.78,164.00
8.540,0,19.14,17.70,381.98,6.94,-39.91,163.51
8.590,0,6.91,16.45,386.70,3.37,-34.52,163.72
8.629,0,-1.16,12.86,391.54,2.69,-28.04,162.59
8.666,0,-6.27,10.93,392.68,2.45,-23.89,163.33
8.703,0,-13.04,5.14,393.15,0.97,-14.09,161.94
8.740,0,-13.46,4.37,392.91,0.84,-13.92,162.64
8.777,0,-16.97,2.15,398.95,-1.63,-4.34,163.31
8.814,0,-17.00,2.28,399.36,-2.13,-3.89,163.79
8.853,0,-16.45,4.29,402.50,-3.71,-2.19,167.24
8.892,0,-15.41,5.52,407.65,-3.66,-4.27,174.14
8.929,0,-15.32,5.90,405.90,-3.64,-2.89,170.83
8.967,0,-15.17,7.49,404.89,-3.83,-2.96,168.29
9.005,0,-15.01,9.01,405.80,-4.88,-0.96,166.57
9.044,0,-14.94,10.14,409.46,-5.09,-1.35,171.00
9.082,0,-14.76,10.61,411.10,-5.40,-0.97,172.93
9.120,0,-14.49,10.45,411.79,-5.41,-0.46,170.84
9.159,0,-14.04,10.10,411.68,-5.61,-0.42,172.03
9.198,0,-13.51,10.11,411.21,-5.40,-0.86,173.02
9.236,0,-12.46,10.43,407.91,-5.54,-1.56,169.34
9.271,0,-11.73,10.82,407.25,-5.52,-2.22,170.97
9.310,0,-11.39,11.36,405.56,-5.71,-1.38,171.92
9.348,0,-10.47,12.51,402.98,-5.56,-3.47,171.92
9.387,0,-9.56,12.88,400.66,-5.90,-3.12,172.81
9.427,0,-8.20,13.14,397.66,-5.77,-3.63,170.20
9.466,0,-6.84,13.12,395.97,-5.66,-3.48,169.45
9.503,0,-4.51,12.03,393.75,-5.43,-1.72,167.30
9.542,0,-3.70,11.96,394.69,-5.36,-2.99,168.23
9.579,0,6.02,11.02,389.33,-5.14,-4.76,168.53
9.618,0,21.12,12.71,376.72,-4.27,-8.19,164.12
9.656,0,65.32,24.20,347.34,-3.75,-9.00,158.72
9.732,0,90.61,30.86,335.27,-2.95,-9.78,157.43
11.014,0,37.54,10.04,374.12,4.02,-19.59,159.50
11.052,0,9.77,-1.22,381.00,2.44,-16.37,164.71
11.089,0,-0.10,-6.00,384.49,0.16,-14.40,168.56
11.125,0,-2.10,-7.58,386.96,-0.66,-12.50,168.20
11.161,0,-11.06,-19.02,392.85,-1.84,-8.94,166.12
11.197,0,-14.13,-24.56,395.52,-2.51,-5.94,165.66
11.235,0,-19.36,-38.99,402.34,-3.46,-2.24,163.81
11.270,0,-19.63,-40.71,401.57,-3.20,-2.18,162.65
11.306,0,-24.61,-52.74,407.15,-2.44,-4.76,164.22
11.343,0,-25.35,-53.93,407.20,-1.78,-5.17,163.91
11.377,0,-32.77,-58.24,411.00,-1.78,-8.15,164.48
11.412,0,-33.95,-58.47,412.21,-1.66,-8.16,164.54
11.448,0,-35.66,-58.42,412.55,-1.82,-9.28,163.94
11.484,0,-38.85,-56.96,415.07,-2.69,-10.44,163.77
11.521,0,-41.41,-55.59,417.53,-3.30,-9.67,163.47
11.557,0,-43.71,-54.48,418.95,-4.16,-8.68,162.34
11.593,0,-46.59,-53.27,421.18,-5.66,-4.10,160.33
11.629,0,-47.87,-52.61,421.86,-6.69,-2.72,158.70
11.664,0,-48.56,-51.39,421.77,-7.74,-0.50,157.76
11.701,0,-49.35,-49.97,421.10,-8.35,0.49,157.78
11.737,0,-50.87,-46.95,423.01,-8.73,0.34,159.38
11.775,0,-52.16,-43.77,423.46,-9.08,0.06,159.92
11.812,0,-53.12,-40.57,424.47,-9.30,-0.28,161.04
11.851,0,-53.31,-38.78,424.73,-9.79,1.06,160.93
11.888,0,-53.02,-36.86,424.18,-10.44,2.60,160.18
11.929,0,-52.85,-35.62,426.64,-10.95,5.29,160.56
11.972,0,-52.29,-34.32,428.26,-11.54,6.65,160.11
12.019,0,-51.93,-33.60,429.46,-11.82,8.30,160.98
12.058,0,-51.35,-31.40,429.86,-12.29,9.94,163.79
12.096,0,-50.62,-28.46,431.82,-13.58,11.99,165.77
12.135,0,-50.49,-27.98,430.61,-13.27,12.69,166.01
12.173,0,-49.85,-27.41,431.20,-13.44,13.78,166.62
12.212,0,-49.21,-27.39,431.98,-13.65,13.95,166.53
12.252,0,-48.30,-27.26,432.69,-13.98,14.83,168.14
12.291,0,-47.58,-28.84,434.71,-13.66,14.61,168.05
12.328,0,-47.10,-29.04,433.10,-13.77,16.29,168.82
12.368,0,-46.92,-29.46,434.81,-13.83,14.48,167.49
12.408,0,-46.66,-29.53,433.57,-13.91,14.95,169.06
12.446,0,-47.02,-29.79,434.89,-13.78,12.58,171.09
12.484,0,-46.80,-30.71,433.79,-13.52,14.16,170.64
12.520,0,-46.84,-30.88,433.59,-13.61,13.69,171.60
12.556,0,-47.54,-31.62,432.77,-13.60,12.95,171.25
12.594,0,-48.76,-31.10,431.18,-13.55,12.90,171.82
12.632,0,-49.71,-30.74,430.29,-13.75,12.06,170.84
12.671,0,-51.51,-30.05,429.81,-14.04,11.79,170.96
12.709,0,-52.00,-30.18,429.57,-13.73,11.09,170.67
12.747,0,-54.74,-30.29,427.36,-13.70,9.43,171.04
12.781,0,-54.84,-30.34,426.05,-13.95,9.77,170.37
12.817,0,-55.72,-31.33,426.44,-13.28,8.41,171.17
12.856,0,-56.16,-31.90,425.02,-13.24,6.70,170.57
12.894,0,-56.73,-32.82,420.21,-13.31,7.86,170.61
12.931,0,-57.13,-33.25,419.00,-13.34,6.64,170.23
12.969,0,-57.57,-33.68,418.90,-13.43,7.06,170.83
13.007,0,-58.29,-35.01,417.78,-13.22,5.28,170.43
13.046,0,-59.55,-36.71,416.20,-13.57,4.96,170.75
13.084,0,-60.71,-38.46,411.97,-13.34,3.52,169.35
13.122,0,-61.48,-39.44,411.57,-13.00,3.25,168.96
13.159,0,-62.32,-40.02,409.94,-13.01,3.40,169.29
13.198,0,-62.85,-40.85,409.32,-12.70,2.83,169.06
13.237,0,-63.17,-41.37,409.75,-12.43,2.74,170.19
13.274,0,-62.83,-41.90,409.03,-12.37,1.20,168.58
13.311,0,-62.54,-42.62,408.39,-12.11,0.98,167.17
13.348,0,-62.27,-43.05,407.80,-12.03,1.07,167.06
13.385,0,-62.29,-43.36,407.73,-12.12,2.47,166.40
13.423,0,-62.65,-43.50,409.17,-12.12,2.89,166.92
13.460,0,-62.77,-42.91,408.61,-12.50,3.58,165.45
13.496,0,-62.70,-42.74,408.06,-12.77,3.82,164.60
13.533,0,-62.70,-42.46,408.44,-12.88,4.12,165.13
13.570,0,-62.76,-42.36,410.01,-12.87,5.03,165.49
13.606,0,-62.75,-42.31,410.29,-12.98,5.37,166.02
13.641,0,-62.19,-42.58,409.15,-12.70,5.01,165.42
13.676,0,-61.95,-42.14,409.22,-12.83,5.05,166.04
13.713,0,-61.55,-42.05,409.10,-12.98,4.96,166.49
13.751,0,-60.92,-41.88,408.78,-12.66,4.81,166.99
13.788,0,-60.77,-41.77,410.34,-13.01,4.99,167.99
13.825,0,-60.80,-42.21,410.18,-12.91,4.44,167.40
13.846,0,-60.89,-42.26,411.59,-13.03,4.79,168.56
13.882,0,-60.89,-42.26,411.59,-13.03,4.79,168.56
13.920,0,-60.95,-41.82,411.72,-12.93,4.12,169.12
13.958,0,-60.87,-40.96,410.39,-12.95,3.59,168.54
13.995,0,-61.01,-40.90,411.25,-13.23,4.07,169.06
14.032,0,-61.09,-40.75,411.28,-13.21,4.59,169.98
14.078,0,-61.09,-40.75,411.28,-13.21,4.59,169.98
14.126,0,-61.14,-40.65,410.74,-13.38,4.72,169.26
14.164,0,-61.02,-40.86,411.19,-13.44,5.11,170.09
14.198,0,-61.03,-40.94,410.09,-13.33,4.10,170.35
14.234,0,-60.94,-40.90,408.72,-13.21,3.73,169.07
14.268,0,-60.98,-40.98,408.97,-13.08,3.60,169.57
14.301,0,-61.08,-40.83,410.12,-13.11,3.58,170.21
14.336,0,-60.82,-40.49,408.37,-12.90,3.46,169.63
14.370,0,-60.04,-39.37,408.26,-13.54,2.98,169.00
14.403,0,-58.01,-37.84,406.93,-13.36,5.51,169.72
14.437,0,-52.84,-33.99,403.09,-14.09,8.24,171.13
14.473,0,-46.88,-28.30,394.90,-14.83,13.74,174.72
14.511,0,-28.85,-8.65,364.70,-16.30,24.16,-175.81
14.548,0,2.97,20.02,317.43,-17.08,34.03,-168.17
14.586,0,14.71,30.64,308.76,-15.45,33.42,-162.46
