Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
1.292,,-2.52,-33.18,841.07,-28.45,-25.06,-158.79,0.00,864.00,751.00,30.00
1.378,,5.23,-28.69,887.99,-29.76,-21.86,-160.23,0.00,864.00,751.00,30.00
1.575,,34.46,-52.77,927.21,-21.33,-20.49,-157.97,0.00,864.00,751.00,30.00
1.663,,55.48,-63.36,936.19,-2.42,-7.97,-173.76,0.00,864.00,751.00,30.00
1.750,,48.38,-61.14,955.46,0.89,-0.30,178.66,0.00,864.00,751.00,30.00
1.826,,40.95,-57.79,942.27,-0.26,-7.52,-169.82,0.00,864.00,751.00,30.00
1.903,,26.97,-43.36,948.61,3.08,8.75,176.60,0.00,864.00,751.00,30.00
1.979,,24.44,-33.55,959.36,4.83,2.91,-171.66,0.00,864.00,751.00,30.00
2.055,,24.92,-25.33,961.74,5.33,-7.18,179.33,0.00,864.00,751.00,30.00
2.133,,28.00,-13.77,964.73,6.77,-4.94,173.62,0.00,864.00,751.00,30.00
2.228,,48.31,7.70,986.63,7.39,8.81,-168.81,0.00,864.00,751.00,30.00
2.312,,75.79,25.14,1004.73,6.25,7.57,-168.92,0.00,864.00,751.00,30.00
2.403,,88.32,32.85,1028.80,6.68,7.60,-175.41,0.00,864.00,751.00,30.00
2.503,,115.21,44.82,1038.28,6.71,8.46,-167.01,0.00,864.00,751.00,30.00
2.580,,141.46,53.52,1071.40,5.17,12.12,-170.86,0.00,864.00,751.00,30.00
2.660,,156.38,58.36,1070.92,5.54,12.73,-166.28,0.00,864.00,751.00,30.00
2.738,,184.97,68.54,1107.03,6.40,16.61,-171.49,0.00,864.00,751.00,30.00
2.812,,208.77,75.56,1134.34,7.42,6.75,169.64,0.00,864.00,751.00,30.00
2.888,,215.45,77.39,1150.85,7.16,14.02,170.43,0.00,864.00,751.00,30.00
2.971,,217.98,79.94,1160.77,7.84,1.23,176.76,0.00,864.00,751.00,30.00
3.055,,215.42,83.36,1184.95,6.98,6.30,167.91,0.00,864.00,751.00,30.00
3.137,,207.63,83.71,1205.98,7.07,5.54,169.16,0.00,864.00,751.00,30.00
3.212,,200.67,82.47,1215.21,7.35,2.10,171.34,0.00,864.00,751.00,30.00
3.293,,187.33,80.60,1229.77,5.86,4.73,173.81,0.00,864.00,751.00,30.00
3.360,,172.09,79.91,1253.32,5.73,9.41,-173.02,0.00,864.00,751.00,30.00
3.445,,169.21,79.50,1249.65,5.64,11.47,166.49,0.00,864.00,751.00,30.00
3.526,,161.49,80.53,1280.12,6.09,15.96,177.05,0.00,864.00,751.00,30.00
3.609,,154.84,83.73,1308.67,7.34,1.92,173.01,0.00,864.00,751.00,30.00
3.701,,148.38,83.16,1311.86,7.49,-1.02,177.96,0.00,864.00,751.00,30.00
3.779,,142.81,81.73,1318.03,7.10,-0.57,-179.30,0.00,864.00,751.00,30.00
3.859,,136.89,82.46,1327.43,8.46,0.84,172.73,0.00,864.00,751.00,30.00
3.946,,132.56,82.37,1315.28,9.26,-5.46,179.43,0.00,864.00,751.00,30.00
4.030,,139.17,83.85,1322.96,10.58,-1.80,176.45,0.00,864.00,751.00,30.00
4.119,,141.90,83.98,1327.50,9.65,4.15,-176.43,0.00,864.00,751.00,30.00
4.198,,145.35,81.85,1319.18,8.55,8.92,-172.16,0.00,864.00,751.00,30.00
4.261,,146.12,82.21,1319.57,8.13,-2.17,177.24,0.00,864.00,751.00,30.00
4.329,,145.57,83.24,1323.35,6.24,14.93,175.85,0.00,864.00,751.00,30.00
4.404,,143.32,84.64,1323.35,6.95,9.01,169.98,0.00,864.00,751.00,30.00
4.483,,138.41,86.75,1324.24,7.20,6.54,169.84,0.00,864.00,751.00,30.00
4.569,,131.36,87.30,1314.24,7.38,3.10,167.03,0.00,864.00,751.00,30.00
4.648,,119.89,88.58,1316.40,6.70,6.65,-176.69,0.00,864.00,751.00,30.00
4.723,,112.08,89.28,1311.90,6.56,0.13,-179.10,0.00,864.00,751.00,30.00
4.790,,104.82,90.05,1310.07,5.38,10.96,167.13,0.00,864.00,751.00,30.00
4.857,,99.12,91.19,1310.14,7.50,-0.09,-179.27,0.00,864.00,751.00,30.00
4.946,,94.79,90.59,1308.47,6.78,11.23,172.72,0.00,864.00,751.00,30.00
5.034,,84.41,90.61,1299.01,7.35,-5.37,-179.01,0.00,864.00,751.00,30.00
5.110,,82.41,90.66,1299.79,7.45,-5.54,179.86,0.00,864.00,751.00,30.00
5.174,,81.24,89.85,1290.91,6.79,-4.73,-178.60,0.00,864.00,751.00,30.00
5.254,,84.95,90.63,1295.78,6.36,1.95,-173.35,0.00,864.00,751.00,30.00
5.333,,92.10,92.36,1301.10,7.09,-1.38,179.25,0.00,864.00,751.00,30.00
5.405,,95.22,92.57,1295.68,6.93,-5.74,177.72,0.00,864.00,751.00,30.00
5.481,,103.36,94.16,1295.35,6.91,-5.43,177.85,0.00,864.00,751.00,30.00
5.557,,116.71,96.18,1294.58,6.29,2.71,-173.38,0.00,864.00,751.00,30.00
5.641,,129.04,98.03,1302.03,5.31,12.13,172.93,0.00,864.00,751.00,30.00
5.724,,141.65,98.03,1296.84,6.10,12.88,170.78,0.00,864.00,751.00,30.00
5.797,,145.58,97.82,1284.03,6.02,5.98,-170.92,0.00,864.00,751.00,30.00
