Time (s),Marker ID,X (mm),Y (mm),Z (mm)
0.059,0,-120.30,210.72,3108.02
0.118,0,-120.93,209.22,3106.24
0.179,0,-120.76,206.69,3083.96
0.240,0,-120.71,205.19,3081.85
0.301,0,-120.36,203.58,3078.06
0.361,0,-117.76,197.51,3021.43
0.421,0,-117.61,193.81,3015.88
0.481,0,-114.16,184.81,2936.39
0.602,0,-112.32,169.17,2930.85
1.086,0,-96.40,68.13,2676.58
1.146,0,-99.15,61.87,2749.69
1.207,0,-103.04,59.99,2861.86
1.267,0,-102.14,58.60,2859.85
1.327,0,-103.33,60.72,2912.21
1.388,0,-103.51,60.69,2910.93
1.448,0,-104.59,60.66,2910.42
1.509,0,-109.54,62.96,3004.60
1.569,0,-109.59,60.72,2932.86
1.629,0,-110.47,60.71,2932.92
1.690,0,-108.60,58.50,2860.12
1.751,0,-109.19,59.28,2881.45
1.811,0,-109.86,58.49,2909.42
1.871,0,-112.25,59.17,2961.32
1.931,0,-112.85,58.41,2958.66
1.992,0,-113.92,56.85,2934.38
2.052,0,-116.79,56.18,2956.89
2.113,0,-117.59,53.92,2931.18
2.173,0,-117.65,51.88,2878.65
2.234,0,-119.13,50.49,2898.07
2.295,0,-118.40,48.35,2874.16
2.354,0,-115.43,42.32,2794.91
2.415,0,-111.46,33.62,2690.65
2.717,0,-101.63,-17.04,2644.85
2.778,0,-98.89,-27.33,2631.32
2.839,0,-99.53,-35.78,2705.52
2.898,0,-95.19,-43.68,2655.39
2.959,0,-96.26,-50.78,2717.19
3.020,0,-161.94,-94.24,4610.85
3.081,0,-96.63,-59.56,2778.22
3.140,0,-95.20,-60.77,2754.47
3.201,0,-95.13,-63.47,2751.14
3.261,0,-95.39,-67.01,2769.38
3.322,0,-95.13,-69.06,2767.06
3.383,0,-95.23,-72.66,2812.98
3.443,0,-94.30,-75.40,2809.64
3.503,0,-91.98,-76.44,2784.06
3.563,0,-93.21,-81.71,2832.49
3.625,0,-94.17,-87.80,2879.53
3.684,0,-92.29,-89.13,2794.01
3.744,0,-95.73,-95.93,2836.45
3.805,0,-98.79,-102.84,2846.31
3.865,0,-97.25,-107.46,2731.58
3.927,0,-97.71,-112.99,2712.59
3.986,0,-99.17,-117.12,2710.94
4.050,0,-102.76,-122.49,2785.10
4.110,0,-101.66,-119.88,2709.30
4.169,0,-102.47,-122.84,2736.47
4.228,0,-100.27,-121.56,2677.25
4.288,0,-100.13,-122.22,2661.51
4.350,0,-99.65,-124.18,2659.36
4.409,0,-98.68,-125.26,2631.85
4.470,0,-95.30,-125.22,2561.62
4.530,0,-94.84,-128.71,2585.68
4.591,0,-93.91,-130.33,2571.49
5.377,0,-213.84,-27.94,2854.07
5.438,0,-212.05,-24.41,2805.90
5.497,0,-210.26,-22.55,2794.28
5.557,0,-211.11,-20.73,2837.48
6.766,0,-0.08,-25.38,2245.31
6.826,0,1.40,-23.80,2176.14
6.887,0,0.76,-21.96,2207.52
6.947,0,-1.26,-18.51,2251.93
7.008,0,-3.83,-15.01,2268.49
7.068,0,-5.60,-12.06,2244.68
7.128,0,-7.96,-9.00,2226.44
7.190,0,-8.58,-7.05,2212.34
7.249,0,-8.45,-4.37,2224.35
7.309,0,-8.59,-2.19,2216.88
7.369,0,-8.11,-0.26,2195.34
7.430,0,-9.29,1.83,2186.85
7.491,0,-9.15,4.22,2166.67
7.551,0,-8.54,6.50,2138.17
7.612,0,-7.07,8.69,2170.66
7.672,0,-4.82,10.97,2200.82
7.853,0,6.75,10.43,2145.44
7.914,0,7.55,9.89,2147.99
7.974,0,7.29,9.99,2162.30
8.096,0,1.76,9.84,2192.97
8.156,0,-1.21,10.06,2183.49
8.216,0,-3.19,11.36,2180.74
8.276,0,-6.31,13.18,2178.05
8.337,0,-9.51,15.97,2236.18
8.397,0,-11.68,16.69,2220.39
8.458,0,-13.03,16.85,2177.12
8.518,0,-13.47,17.61,2141.67
8.578,0,-12.88,19.24,2149.88
8.639,0,-12.21,21.32,2176.60
8.699,0,-10.65,22.42,2181.77
8.760,0,-9.45,24.01,2207.41
8.820,0,-8.05,25.11,2187.38
8.881,0,-6.52,27.77,2170.30
8.942,0,-5.74,31.15,2243.78
9.003,0,-5.24,32.76,2244.25
9.063,0,-4.74,33.34,2246.67
9.123,0,-4.68,33.24,2222.63
9.184,0,-4.86,34.34,2224.78
9.243,0,-4.69,34.85,2223.63
9.304,0,-4.74,36.03,2247.45
9.364,0,-4.64,35.84,2202.61
9.426,0,-4.53,37.55,2226.38
9.485,0,-4.20,39.20,2229.49
9.547,0,-4.63,41.62,2274.36
9.607,0,-5.31,41.62,2274.27
9.667,0,-5.26,40.95,2252.40
9.727,0,-5.43,41.55,2255.84
9.788,0,-5.60,42.05,2253.98
9.848,0,-5.94,42.05,2253.68
9.910,0,-6.17,43.86,2277.98
9.968,0,-6.69,45.53,2280.35
10.029,0,-6.63,47.55,2260.86
10.090,0,-7.47,50.24,2310.04
10.151,0,-8.85,50.33,2265.06
10.210,0,-9.66,49.84,2219.64
10.272,0,-9.66,50.88,2219.49
10.331,0,-8.00,49.84,2219.58
10.392,0,-4.35,48.26,2219.80
10.815,0,36.87,19.84,2068.98
10.877,0,39.09,17.41,2022.34
10.936,0,39.41,16.49,2000.19
10.997,0,38.76,16.43,2020.90
11.056,0,36.66,17.43,2022.28
11.117,0,35.82,17.96,2026.07
11.177,0,36.36,18.41,2022.78
11.242,0,37.57,18.40,2022.88
11.298,0,39.27,18.31,2040.43
11.358,0,39.21,17.01,2005.22
11.419,0,38.90,17.01,2004.96
11.479,0,38.30,17.02,2004.92
11.540,0,37.73,18.40,2023.28
11.600,0,35.98,18.14,1968.89
11.661,0,35.93,19.96,2008.17
11.721,0,35.49,21.00,1992.05
11.782,0,35.80,21.92,2010.18
11.842,0,34.96,21.91,2030.91
11.903,0,31.46,20.95,2029.63
12.144,0,6.61,23.60,2102.37
12.205,0,2.58,25.67,2125.79
12.265,0,-0.29,27.80,2171.50
12.567,0,-29.24,39.66,2320.58
12.627,0,-34.14,42.62,2347.05
12.688,0,-37.96,44.22,2344.20
12.748,0,-39.54,43.79,2293.51
12.809,0,-40.93,44.90,2294.78
12.869,0,-40.93,44.90,2294.78
12.929,0,-40.50,44.14,2270.27
12.990,0,-40.16,44.15,2270.40
